Country,Date,Headline,Link,,,,
Netherlands,26-May,Netherlands: COVID-19-related Mandatory Closures Of Rented Premises: The Consequences For Lessors And Lessees ,https://www.mondaq.com/operational-impacts-and-strategy/1071930/covid-19-related-mandatory-closures-of-rented-premises-the-consequences-for-lessors-and-lessees,,,,
Netherlands,26-May,Coronavirus in the Netherlands: all you need to know [UPDATED],https://dutchreview.com/news/coronavirus-netherlands/,,,,
Netherlands,26-May,Dutch Covid hospitalizations 53% below peak; ICU total near 10-week low,https://nltimes.nl/2021/05/25/dutch-covid-hospitalizations-53-peak-icu-total-near-10-week-low,,,,
Netherlands,26-May,Bad weather and Covid-19 delay Dutch lake project,https://www.newsbreak.com/news/2261534644967/bad-weather-and-covid-19-delay-dutch-lake-project,,,,
Netherlands,26-May,"Netherlands: Migrant workers face job loss, homelessness & lack protection as COVID-19 spreads",https://www.business-humanrights.org/en/latest-news/netherlands-migrant-workers-face-job-loss-homelessness-lack-protection-as-covid-19-spreads/,,,,
Italy,26-May,The millennials using Covid to change Sicily's €1 home schemes,https://edition.cnn.com/travel/article/cammarata-sicily-1-euro-homes-streetto/index.html,,,,
Italy,26-May,"Proximity and post-COVID-19 urban development: Reflections from Milan, Italy",https://www.sciencedirect.com/science/article/pii/S2226585621000339,,,,
Italy,26-May,How to enter Italy during COVID-19 Quarantine for Pakistan,https://www.ivisa.com/italy-blog/how-to-enter-italy-during-covid-19-quarantine-for-pakistan,,,,
Italy,26-May,"Italy reports 166 coronavirus deaths on Tuesday, 3,224 new cases",https://finance.yahoo.com/news/italy-reports-166-coronavirus-deaths-152353933.html,,,,
Italy,26-May,Holiday boost for Britons as 'vaccine rush' means Italy set to open for 'Covid-free' trips,https://www.express.co.uk/news/world/1441154/Summer-holiday-news-coronavirus-travel-latest-Italy-vaccine-update,,,,
Germany,26-May,"Frequently asked questions on Digital Registration on Entry, the obligation to furnish proof and quarantine on entry",https://www.bundesgesundheitsministerium.de/coronavirus-infos-reisende/faq-tests-einreisende-englisch.html,,,,
Germany,26-May,German economy hit harder than expected by COVID crisis,https://www.dw.com/en/german-economy-hit-harder-than-expected-by-covid-crisis/a-57650920,,,,`
Germany,26-May,Summer boom beckons for German economy after winter COVID blues,https://www.reuters.com/world/europe/german-business-morale-improves-more-than-expected-2-year-high-2021-05-25/,,,,
Germany,26-May,China replaces Germany as UK’s biggest import market,https://www.theguardian.com/business/2021/may/25/uk-trade-with-eu-falls-by-23-in-first-quarter-as-brexit-and-covid-hit,,,,
Germany,26-May,New four-week “lockdown light” takes effect in Germany,https://www.aipsmedia.com/?page=artdetail&art=28770&GermanyCoronavirusCoronavirus-updatesPost-COVID-journalism,,,,
Spain,26-May,"Two weeks after end of state of alarm in Spain, fall in coronavirus incidence continues but at a slightly slower pace",https://english.elpais.com/society/2021-05-25/two-weeks-after-end-of-state-of-alarm-in-spain-fall-in-coronavirus-incidence-continues-but-at-a-slightly-slower-pace.html,,,,
Spain,26-May,Covid-19: Travelling from Ireland to Spain,http://www.exteriores.gob.es/Embajadas/DUBLIN/en/Embajada/ServiciosConsulares/Pages/Covid-19-Travelling-to-Spain.aspx,,,,
Spain,26-May,Spain investigates new strain after ISL player tests positive for Covid-19,https://timesofindia.indiatimes.com/city/goa/spain-investigates-new-strain-after-isl-player-tests-positive-for-covid-19/articleshow/82953414.cms,,,,
Spain,26-May,COVID-19 pandemic delays completion of Spain’s Sagrada Familia beyond 2026,https://english.alarabiya.net/coronavirus/2021/05/25/COVID-19-pandemic-delays-completion-of-Spain-s-Sagrada-Familia-beyond-2026,,,,
Spain,26-May,"Cyprus Moves US, Romania & Thailand to Low-Risk Category – Removes Entry Restrictions for Malta Travellers",https://www.schengenvisainfo.com/news/cyprus-moves-us-romania-thailand-to-low-risk-category-removes-entry-restrictions-for-malta-travellers/,,,,
France,26-May,France to Ban British Travellers Due to COVID-19 New Variant,https://www.schengenvisainfo.com/news/france-to-ban-british-travellers-due-to-covid-19-new-variant/,,,,
France,26-May,"French COVID-19 cases, patient numbers and deaths fall further",https://www.reuters.com/world/europe/french-covid-19-cases-patient-numbers-deaths-fall-further-2021-05-25/,,,,
France,26-May,EU summit welcomes Covid certificate to unlock travel,https://www.france24.com/en/live-news/20210525-eu-summit-welcomes-covid-certificate-to-unlock-travel,,,,
France,26-May,Explained: Covid-19 rules for travel to and from France,https://www.connexionfrance.com/French-news/Rules-for-travel-to-and-from-France-explained-during-Covid-19,,,,
France,26-May,Coronavirus: what is the current situation in France?,https://www.completefrance.com/travel/coronavirus-2020-is-it-safe-to-travel-to-france-1-6555880,,,,
UK,26-May,Covid-19: First man to get jab William Shakespeare dies of unrelated illness,https://www.bbc.com/news/uk-england-coventry-warwickshire-57234741,,,,
UK,26-May,UK COVID-19 Update: Government Defends Indian Variant Travel Advice,https://www.medscape.com/viewarticle/951775,,,,
UK,26-May,UK government to clarify Covid advice for eight areas hit by variant ,https://www.ft.com/content/c36a9587-fa02-43c0-938f-37f8e70c83b7,,,,
UK,26-May,COVID-19: UK reports 15 more coronavirus deaths - as 23 million people are now fully vaccinated,https://news.sky.com/story/covid-19-uk-reports-15-more-coronavirus-deaths-as-23-million-people-are-now-fully-vaccinated-12316798,,,,
UK,26-May,UK wedding industry fears collapse if Covid rules not eased in June,https://www.theguardian.com/world/2021/may/25/uk-wedding-industry-fears-collapse-if-covid-rules-not-eased-in-june,,,,
Netherlands,21-May,"Netherlands (Travel Restrictions, COVID Tests & Quarantine Requirements)",https://blog.wego.com/netherlands-travel-restrictions-and-quarantine-requirements/,,,,
Netherlands,21-May,"Brussels, MEPs agree compromise deal on EU coronavirus travel permit",https://www.dutchnews.nl/news/2021/05/brussels-meps-agree-compromise-deal-on-eu-coronavirus-travel-permit/,,,,
Netherlands,21-May,"Ethnic minority Amsterdammers harder hit by coronavirus, according to report",https://www.dutchnews.nl/news/2021/05/ethnic-minority-amsterdammers-harder-hit-by-coronavirus-according-to-report/,,,,
Netherlands,21-May,"Dutch Covid hospital total plunges below 2,000; Lowest point in 10 weeks",https://nltimes.nl/2021/05/20/dutch-covid-hospital-total-plunges-2000-lowest-point-10-weeks,,,,
Netherlands,21-May,"Eurovision Rotterdam 2021 thrown into chaos after positive COVID-19 tests for Netherlands, Iceland",https://www.perthnow.com.au/news/world/eurovision-rotterdam-2021-thrown-into-chaos-after-positive-covid-19-tests-for-netherlands-iceland-ng-b881878225z,,,,
Italy,21-May,Covid-19: Italy reopens for international tourism,https://www.theflorentine.net/2021/05/20/covid-19-italy-reopens-for-international-tourism/,,,,
Italy,21-May,How Can the Citizens of Italy enter Malta During Coronavirus?,https://www.ivisa.com/malta-blog/how-can-the-citizens-of-italy-enter-malta-during-coronavirus,,,,
Italy,21-May,Rural Italy Had a Pandemic Renaissance. Can It Last?,https://www.bloomberg.com/news/articles/2021-05-21/how-covid-repopulated-rural-italian-villages,,,,
Italy,21-May,Italy to Loosen Coronavirus Restrictions in Some Areas,https://www.usnews.com/news/health-news/articles/2021-05-21/italy-to-loosen-coronavirus-restrictions-in-some-areas,,,,
Italy,21-May,"Italy ready to fund ReiThera COVID-19 vaccine project, minister says",https://www.reuters.com/business/healthcare-pharmaceuticals/italy-govt-ready-fund-reithera-covid-19-vaccine-project-minister-says-2021-05-21/,,,,
Germany,21-May,COVID vaccination: 'Should we draw lots?',https://www.dw.com/en/covid-vaccination-should-we-draw-lots/a-57592777,,,,
Germany,21-May,How can the citizens of Germany enter Malta During Coronavirus?,https://www.ivisa.com/malta-blog/how-can-the-citizens-of-germany-enter-malta-during-coronavirus,,,,
Germany,21-May,Germany Bans UK Travellers From Entering the Country Due to COVID-19 Variants,https://www.schengenvisainfo.com/news/germany-bans-uk-travellers-from-entering-the-country-due-to-covid-19-variants/,,,,
Germany,21-May,"Germany lifts more restrictions, Merkel urges caution",https://apnews.com/article/europe-berlin-lifestyle-travel-coronavirus-pandemic-bfb3bc41cedf2a7610f9ab4e462b6571,,,,
Germany,21-May,Germany to take France off coronavirus risk list -sources,https://www.reuters.com/world/europe/germany-take-france-off-coronavirus-risk-list-sources-2021-05-21/,,,,
Spain,21-May,Coronavirus: Spain to lift restrictions for UK and Japanese travellers,https://www.bbc.com/news/world-europe-57199791,,,,
Spain,21-May,Find Out How Citizens of Spain Can Enter Malta During Coronavirus,https://www.ivisa.com/malta-blog/find-out-how-citizens-of-spain-can-enter-malta-during-coronavirus,,,,
Spain,21-May,All vaccinated travelers will be allowed into Spain from June 7,https://www.aa.com.tr/en/europe/all-vaccinated-travelers-will-be-allowed-into-spain-from-june-7/2250065,,,,
Spain,21-May,Spain to drop Covid restrictions on British visitors from 24 May,https://www.theguardian.com/travel/2021/may/21/spain-to-drop-covid-restrictions-on-british-visitors-from-24-may,,,,
Spain,21-May,Pedro Sánchez: Fully vaccinated Brits don’t need a coronavirus test to visit Spain,https://www.politico.eu/article/uk-tourists-fully-vaccinated-allowed-to-travel-to-spain-without-tests-from-monday/,,,,
France,21-May,Covid France: When can we stop wearing face masks?,https://www.connexionfrance.com/French-news/Covid-France-When-can-we-stop-wearing-face-masks,,,,
France,21-May,EU Covid health pass approved for travel use from July 1,https://www.connexionfrance.com/French-news/EU-Covid-health-pass-approved-for-travel-use-from-July-1,,,,
France,21-May,"France extends Covid-19 vaccination to all adults from May 31, ahead of initial target",https://www.france24.com/en/europe/20210520-france-to-open-covid-19-vaccination-to-all-adults-ahead-of-june-15-target,,,,
France,21-May,"France opens coronavirus vaccination to all adults on May 31, two weeks sooner than planned",https://www.euronews.com/2021/05/20/france-opens-coronavirus-vaccination-to-all-adults-two-weeks-sooner-than-planned,,,,
France,21-May,Traveling to France during Covid-19: What you need to know before you go,https://kesq.com/entertainment/2021/05/31/traveling-to-france-during-covid-19-what-you-need-to-know-before-you-go/,,,,
UK,21-May,Prince William receives first Covid vaccine dose,https://www.bbc.com/news/uk-57185584,,,,
UK,21-May,"UK COVID-19 Update: 'Race' Between Virus and Vaccine, Third Wave Warning",https://www.medscape.com/viewarticle/951129,,,,
