Date,Article 1,Article 2,Article 3,Article 4,Article 5
01-Dec,Coronavirus: Netherlands makes face masks mandatory indoors,Round Two of Covid-19: Keeping the Dutch Happy or Safe? ,Netherlands aims to start Covid-19 vaccinations by early January ,Dutch make masks mandatory as new coronavirus cases taper,Dutch Cabinet plans to start vaccinating against coronavirus on January 4
07-Dec,High-stakes crisis management in the Low Countries: Comparing government responses to COVID-19 ,OMT and Dutch government pessimistic about Christmas coronavirus measures,"Dutch coronavirus infections top 7,100 for first time in a month; Average up 21%","Virologist urges caution, says coronavirus rules should remain at Christmas",Covid Gives Extra Boost to the Dairy Assortment in the Netherlands
14-Dec,Lockdown in order to minimise contact between people,"Coronavirus digest: Netherlands COVID-19 cases jump by nearly 10,000",Netherlands 'planning' strict lockdown to stem COVID-19,Dutch weigh stricter lockdown as COVID-19 cases jump,Netherlands and Czech Republic to enforce strict Christmas lockdowns
21-Dec,Important Notice Regarding Travel to the Netherlands,Restrictions on travel from the United Kingdom,"COVID-19: Italy, Austria, Belgium and Netherlands ban UK flights over new coronavirus strain fears",Netherlands bans flights from UK over new Covid mutation ,"Covid: Mutant strain found in Denmark, Netherlands and Australia"
28-Dec,Netherlands Obliges Travellers From EU/Schengen Area to Present Negative COVID-19 Test Results Upon Arrival,Netherlands: Authorities to expand COVID-19-related testing requirements for international arrivals from Dec. 29 /update 20,The spread of the UK coronavirus variant in the Netherlands,Netherlands demands negative coronavirus test for all travellers,COVID Love Story: Can A Malawian Bachelor And A Dutch Bachelorette Make It?
01-Jan,Can I still travel to the Netherlands after Brexit?,"Brexitdeal: The EU and the UK have reached an agreement on a new partnership. From 1 January 2021, new rules will apply when doing business with the UK. Citizens will also notice changes. Are you travelling (for essential purposes) from/to the Netherlands or the UK? Different and more in-depth customs rules and controls will apply.",Finding the positive: Migrants and COVID-19,Dutch lockdown to last at least to mid-February - health chief,Coronavirus sceptic wins court case about mandatory PCR testing
07-Jan,"Netherlands begins Covid-19 vaccinations, later than other EU nations",Coronavirus: Dutch shocked to be EU vaccination stragglers,Netherlands Begins Coronavirus Vaccinations,Netherlands begins COVID-19 vaccinations,Dutch begin COVID-19 vaccinations; last EU nation to do so
14-Jan,Getting vaccinated against COVID-19: how does it work?,"Rapid test compulsory for people entering the Netherlands from the UK, Ireland and South Africa",Netherlands Begins Mass Testing to Isolate COVID-19 Variant ,Netherlands imposes mandatory Covid rapid testing for inbound travel,"Netherlands Imposes Compulsory Rapid Tests for Citizens of UK, Ireland & South Africa"
21-Jan,Lockdown measures tightened in response to concerns about new variants of virus,Where can I get a NAAT(PCR) or rapid test outside the Netherlands?,Coronavirus digest: Netherlands introduces curfew to halt spread of new variant,Netherlands: Authorities announce tightening of international entry and domestic restrictions Jan. 20 due to COVID-19 /update 23,Coronavirus in the Netherlands: What you need to know (January 22)
28-Jan,Angry citizens who hate the system': Why the riots in the Netherlands go beyond a COVID curfew,Latest Travel Alerts and Warnings for the Netherlands,COVID-19 Update: Netherlands Entrance Requirements,Netherlands: New Curfew In The Netherlands Has Exceptions For Night Workers ,Netherlands: What’s behind violent anti-lockdown riots?
01-Feb,Study reveals the Netherlands’ relatively poor handling of coronavirus crisis,More contagious mutation causes half of new Dutch virus cases,Netherlands to partially open schools in February,U.K. variant accounts for half of all new COVID-19 cases in the Netherlands,Netherlands could end controversial curfew on 10 February 
07-Feb,UPDATE 1-Netherlands coronavirus cases surpass a million -official data,One protester on why he took to the streets over Dutch COVID curfew,Netherlands surpasses 1 million Covid-19 cases,"Dutch cases top 1m, Greece's regional tightening: COVID-19 daily bulletin",Netherlands issues 'code red' alert as heavy snow closes COVID testing centres
14-Feb,Netherlands: Working from home due to the coronavirus: the Dutch tax impact ,Covid-19 school closures are widening Europe’s class divisions,Coronavirus breath testing stopped after several false negatives: RTL,Dutch take to the ice as canals and lakes freeze over,How coronavirus affects young and old
21-Feb,Dutch parliament overrides court to keep curfew ,Thousands register for coronavirus-proof concert and festival tickets,Slight decrease in new covid infections; hospital total also dropped,Participant in Fieldlab experiment tests positive for Covid-19,Dutch senators approve new COVID curfew law in spite of court ruling striking it down 
28-Feb,"Shutdowns, layoffs, virtual tours: How Dutch museums are coping with COVID-19",Dutch exceptionalism: Superior failure in the year of coronavirus,A year after coronavirus: Dutch say they’re tired and lack confidence in vaccination policy,Covid-19 seven-day average up 17 percent for the week; hospitalizations total also rises,Dutch to roll out rapid breath tests for Covid-19
01-Mar,"Towards a global green recovery: The cases of Denmark, the EU, Germany, the Netherlands and the UK",Newsletter on COVID-19 vaccination issue 8 2021,"Covid has ‘taken wind out of Dutch politics’, analysts say as elections loom",The Netherlands to trial rapid and home coronavirus tests,Netherlands 4th in EU ranking for Covid vaccination
07-Mar,Dutch clubbers hit dancefloor for study into easing lockdown,Urban Sun': Dutch artists launches UV light installation to 'clean' public spaces of COVID-19,Swabs are passé: Dutch inventor's new Covid test involves screaming or singing in an air-locked cabin,Dutch dance lovers offered lockdown relief at test event,Revelers in Amsterdam hit dancefloor for club night experiment 
