Date,Article 1,Article 2,Article 3,Article 4,Article 5
01-Dec,"Spain: New COVID infections plummet, deaths still high",Spain Extends Entry Ban on Third-Country Citizens Until End of the Year,Spain appeals for Covid 'common sense' after shopping crowd scenes,"COVID-19 Travel And Entry regulations For Travellers From Barcelona, Spain To Other Countries","Spain: COVID-19 deaths top 45,000, cases near 1.65M"
07-Dec,The impact of COVID-19 on the electricity sector in Spain: An econometric approach based on prices,The first Spaniards to get the coronavirus vaccine: cross-border workers in Gibraltar,COVID-19 in Spain: view from the eye of the storm,Spain: New coronavirus infections drop to August levels,Spain: Restrictive COVID-19-related measures maintained as of Dec. 7. /update 30
14-Dec,"Spain could develop coronavirus herd immunity by end of summer 2021, minister says","Spain could develop Covid-19 herd immunity by end of summer 2021, minister says",Spain sees fresh spike in coronavirus cases,Spain housing: Evictions and broken promises in a pandemic,Barcelona: A city shut down by COVID-19
21-Dec,Madrid authorities say concert attended by thousands followed Covid rules,"Spain Retail: After the hit of COVID-19, retail is still trying to recover",Covid-19: More than 40 countries ban UK arrivals,Spain: Authorities to tighten COVID-19 measures in several regions Dec. 23-Jan. 6 /update 31,SPAIN AMONG THE WORST PREPARED FOR POST-COVID RECOVERY
28-Dec,96-year-old woman gets Spain’s 1st COVID-19 vaccine,"Spain, Sweden confirm cases of new COVID-19 strain",Spain to keep registry of people who refuse Covid vaccine,Spain begins its Covid vaccination program under the shadow of a possible third wave,"Araceli Hidalgo, 96, the first person in Spain to receive the Covid-19 vaccine"
01-Jan,Spain departs 2020 with surging COVID-19 infections,The year that Spain had to leave the hugs behind,Spain registers highest new Covid cases since start of pandemic,Explained: Why Spain will maintain a Covid-19 vaccine deniers registry,Organ Donation and Transplantation During the COVID-19 Pandemic: A Summary of the Spanish Experience
07-Jan,Spain: Authorities maintain COVID-19-related measures as of Jan. 6 /update 32,"New strain of coronavirus has been circulating in Spain for two weeks, experts conclude","Madrid premier vows to step up slow vaccination rollout, as Asturias delivers 100% of first dose",Impact of COVID-19 Confinement on Physical Activity and Sedentary Behaviour in Spanish University Students: Role of Gender,Spain’s post-holiday coronavirus surge continues
14-Jan,Spain shatters record for new coronavirus infections,"Mortality rate of coronavirus (COVID-19) in Spain as of November 24, 2020, by age group ","Number of people who recovered from coronavirus (COVID-19) in Spain between March 9 and May 18, 2020 ",Spain rejects virus confinement as most of Europe stays home,"Spain reports 38,869 new coronavirus cases in a day, a new record high"
21-Jan,"COVID-19: Spain sees record cases, deaths pass 55,000","Sanchez praises EU unity, insists Spain will implement COVID recovery funds","Spain reports highest weekly figure of new coronavirus cases so far: 233,523",Spain headed toward de facto lockdown amid surge in coronavirus cases,Spain refuses new measures despite record virus cases
28-Jan,"The impact of Covid-19 on Spain’s demographics: new highs for deaths, lows for marriage","Spain reports 36,435 new coronavirus cases and 591 deaths, the highest fatality figure of the third wave",Spanish anti-COVID drug 99% effective,Madrid halting COVID-19 vaccinations due to supply delays,Spain detects first case of South Africa virus variant
