Date,Article 1,Article 2,Article 3,Article 4,Article 5
01-Dec,Covid infections in England fall by 30% over lockdown - React study,Covid-19: No plans for 'vaccine passport' - Michael Gove,UK coronavirus: Matt Hancock says pandemic 'back under control' but country cannot let up – as it happened,"Almost 700,000 driven into poverty by Covid crisis in UK, study finds","COVID-19: UK records another 12,330 coronavirus cases and 205 deaths"
07-Dec,Fears that UK will not cope with Brexit and Covid vaccine rollout,Covid vaccine arrives in UK hospitals ready for first jabs,1st Doses Of COVID-19 Vaccine To Be Administered This Week In The U.K.,Coronavirus: Vaccine rollout 'marathon not a sprint' - Powis,Covid-19: Vaccine rollout 'ready' for any Brexit outcome
14-Dec,UK reports 232 further Covid deaths – as it happened,England's new Covid variant: should we be worried?,"COVID-19: UK reports another 18,447 coronavirus cases and 144 deaths",Covid: How close is the light at the end of the tunnel?,'New variant' of coronavirus identified in England
21-Dec,New coronavirus variant: What do we know?,Covid: Nations impose UK travel bans over new variant,Updated: Covid-19 - Flights to and from UK temporarily banned as from Tuesday,What do we know about the fast-spreading Covid variant in UK?,Coronavirus: What we know about the UK's new COVID strain
28-Dec,Covid-19: Concern at 'unprecedented' infection level in England,"Covid-19: UK records 30,000 new cases and 316 deaths","COVID-19: UK records 30,501 new coronavirus cases and 316 more deaths",Coronavirus live news: British tourists flee Swiss ski resort quarantine; inoculation in EU begins – as it happened,Coronavirus digest: UK COVID vaccine has same 'winning formula'
01-Jan,Covid: 12-week vaccine gap defended by UK medical chiefs,"COVID-19: UK records 55,892 cases - highest ever daily total - as top doctor issues plea","Covid-19: UK reports a record 55,892 daily cases",UK economic outlook for 2021: Covid surge deepens the gloom,UK records highest single-day rise in COVID-19 cases
07-Jan,"Covid-19: UK records more than 1,000 daily virus deaths",Covid vaccine tracker: How many people have been vaccinated in the UK?,"Covid: scale of emergency facing UK laid bare as 1,041 deaths recorded in 24 hours","UK Covid death toll rises by 1,041 – a record rise for second wave",Coronavirus digest: UK reports highest daily COVID deaths since April
14-Jan,Covid-19: UK daily deaths at record high and Scotland rules tightened,Covid: Large trial of new treatment begins in UK,"UK coronavirus deaths pass 100,000 after 1,564 reported in one day",Coronavirus variant from UK 'must not get out of hand' warns EU,"COVID-19: UK reports highest increase in coronavirus deaths with 1,564"
21-Jan,COVID-19: UK to look 'very carefully' at vaccine dosing after concerns raised over level of protection,"COVID-19: 1,820 more coronavirus deaths in UK - highest number reported on a single day","UK reports 1,820 more Covid deaths, the most recorded in one day","Covid: UK reports 1,820 deaths as Johnson warns tough weeks to come",Highest daily Covid deaths recorded in UK
28-Jan,Coronavirus: EU demands UK-made AstraZeneca vaccine doses,Covid symptoms: What are they and how do I protect myself?,Cough and sore throat more common with UK Covid variant – study,Britain and EU clash over claims to UK-produced Covid vaccine,COVID-19: Talk of a UK baby boom turns into fears of a baby bust - here's what the data reveals
01-Feb,UK's first Covid evacuees: 'I wish I'd stayed in Wuhan and missed flight',"Covid: EU 'made a mistake' over vaccines, Gove says","January's daily UK Covid death toll averages more than 1,000, figures show","Daily record as 600,000 people in the UK receive Covid jabs on Saturday","COVID-19: UK reports another 587 coronavirus deaths - as vaccine doses rise by more than 600,000 for first time"
07-Feb,Covid: More than 12 million in UK have had first jab,Covid: Oxford jab offers less S Africa variant protection,'Another wave is possible': Paris braces for UK Covid variant,Fall in Covid cases slower in UK's poor regions,"COVID-19: UK infections, deaths continue decline"
14-Feb,"Covid-19: UK failed to heed the virus alerts, says vaccine creator",Covid: experts warn of huge UK wave if restrictions lifted too soon,Covid: Vaccine given to 15 million in UK as PM hails 'extraordinary feat',Covid-19: Over-65s to receive jab in next phase of rollout in England,UK backs Biden’s call for China to release data on coronavirus origin
21-Feb,Covid vaccine: All UK adults to be offered jab by 31 July - PM,UK Covid lockdown easing: A No 10 'priority' is to allow more social contact,UK records 215 deaths – as it happened,UK government under growing pressure over Covid procurement,Coronavirus digest: UK accelerates vaccine drive
28-Feb,"Covid has connected UK communities and spurred volunteering, report finds",Covid-19: Nearly 20 million people in UK have first vaccine dose,Covid-19: More than 20 million in UK have had first jab,Covid-19: Brazil 'variant of concern' detected in UK,"UK cases at five-month low; Brazil sees fifth day of more than 1,300 deaths – as it happened"
01-Mar,Alarm over delays in border measures as Brazil Covid variant hits UK,Up to six cases of Manaus variant of coronavirus detected in UK,"COVID-19: New Brazil COVID 'variant of concern' discovered in UK, health officials say","COVID-19: Another 144 UK deaths and 6,035 new cases reported",All households with children of school age to get 2 rapid COVID-19 tests per person per week
07-Mar,Covid-19: Lockdown 'a success' but UK 'not out of the woods',Covid: UK must prepare for 'hard winter' of flu - expert,"Covid lockdown a success but UK 'not out of the woods', says ONS head",COVID news live: Britons aged 56 and over can now get coronavirus jabs - as government defends 1% NHS pay rise,COVID-19: UK daily deaths dip below 100 for the first time since last October 
14-Mar,Covid-19: UK national day of reflection to be held on 23 March,EU closes ranks over Covid surge and vaccine delays,UK COVID-19 research passes one million participants,Government will have to take heed if Covid calls time on more UK pubs,"4,618 new cases and 52 more deaths in UK – as it happened"
21-Mar,"Covid-19: Record day for UK with 711,156 vaccinations given",Covid-19: Have a million people left the UK?,Michael Rosen backs calls for Covid UK public inquiry,"Covid rise in Europe makes foreign holidays unlikely, UK experts warn","COVID-19: Half of UK adults have received first vaccine dose, government says"
28-Mar,"UK Covid deaths pass 150,000 milestone, analysis shows",Covid: What's happened to crime during the pandemic?,Covid: Boris Johnson urged to share vaccines with poorer nations,"COVID-19: UK reports 58 deaths and 4,715 cases in latest 24-hour period",COVID-19: UK hits 30 million first coronavirus vaccine doses - 57% of all adults
01-Apr,COVID-19: Malta to welcome fully vaccinated UK holidaymakers from June,Almost third of UK Covid hospital patients readmitted within four months,Covid: Children 'well protected by Pfizer vaccine',"UK COVID-19 Update: Germany Suspends Oxford Vaccine for Under-60s, and 'Third Wave' Intensifies in France","Covid-19: Mass testing at UK universities is haphazard and unscientific, finds BMJ investigation"
07-Apr,Covid: Child jabs halted in trial as adult clot link probed,Covid: Moderna vaccine UK rollout begins in Wales,The UK cannot ignore Mexico’s Covid crisis,COVID news live - latest updates: New UK guidance on AstraZeneca-Oxford vaccine over blood clot 'link',COVID-19: Number of daily first vaccine doses in UK falls to lowest since early January
14-Apr,'Mix and match' UK Covid vaccine trial expanded,UK strategy of backing several Covid vaccines seems to be paying off,"UK COVID variant not more dangerous than original, say studies",Get tested for coronavirus (COVID-19),COVID-19: 'No Evidence' That UK Variant Causes More Severe Disease
21-Apr,"Covid UK: coronavirus cases, deaths and vaccinations today","COVID-19: UK reports another 33 coronavirus deaths and 2,524 new cases - as 33 million have received first vaccine dose",Covid: Plan for pills to treat virus at home by autumn,British PM Johnson launches search for COVID-19 antiviral treatments,Johnson Warns of New Covid Wave as U.K. Plans to Live With Virus
28-Apr,India Covid: First UK aid arrives as coronavirus deaths mount,Covid-19: UK Indians rally to help during Covid crisis,Vaccinating adolescents could help prevent third wave of Covid in UK – study,Leading scientists urge UK to share Covid vaccines with poorer nations,UK survey finds rising unease about AstraZeneca COVID-19 vaccine
01-May,Covid-19: UK infections fall as clubbers return for trial,"Post-vaccine COVID infections and deaths rare, UK study finds",Coronavirus (COVID-19): international travel and managed isolation (quarantine),"COVID-19: UK could be 'past the pandemic' expert says as data estimates one in 40,000 symptomatic cases","UK Covid: infection rates below one person per 1,000 in England and Wales, ONS figures suggest – as it happened"
07-May,Covid-19: Complaints after England booking site reveals vaccine status,Covid: How does the Oxford-AstraZeneca vaccine work?,UK COVID-19 Update: Strong Protection from Pfizer Jab and Vaccine Confidence Remains High,"UK working with U.S., WTO on boosting COVID vaccine supply","COVID-19: UK reports 13 more coronavirus deaths and 2,613 new cases - as 16m now fully vaccinated"
14-May,"Covid-19: Five ways to make hugging safer, from the experts",Indian variant: Second jabs could be brought forward to tackle rise,Coronavirus (COVID-19): requirements to provide public health information to passengers travelling to England,UK reports biggest daily rise in COVID cases since April 27,India variant could lead to serious third wave of Covid in UK
21-May,Prince William receives first Covid vaccine dose,"UK COVID-19 Update: 'Race' Between Virus and Vaccine, Third Wave Warning","UK daily COVID cases highest in a month, Indian variant rising sharply","UK Covid: India variant case numbers rise to 3,424 – up 160% over past week – as it happened",UK faces third wave of Covid-19 as Indian variant cases double
