Date,Article 1,Article 2,Article 3,Article 4,Article 5
01-Dec,France gets set for Covid-19 vaccine arrival,"France unveils five-step Covid-19 vaccination plan, starting with those most at risk",COVID-19 infections in France halve but deaths double,France Faces Public Resistance to COVID Vaccine,France's COVID-19 infections down again but hospitalizations still high
07-Dec,Coronavirus France: Elderly woman fined for lockdown form error,"France sees another decline in COVID-19 cases, deaths","France still far from goal of reducing number of Covid-19 cases to 5,000 per day",France unlikely to lift lockdown as planned – as it happened,France may have to delay unwinding COVID-19 lockdown as cases plateau
14-Dec,France launches mass Covid-19 screening campaigns before lifting lockdown,French city of Le Havre begins mass testing for Covid-19,France Must Overcome Deep Vaccine Skepticism To Beat Covid-19 And Save Tourism,France to closely monitor side-effects of Covid-19 vaccine,Coronavirus: Parts of France launch mass testing ahead of deconfinement
21-Dec,Covid-19: 'Serious disruption' feared as Dover halts traffic to France,France's Covid freight ban 'will have devastating effect' on UK supplies,Underdetection of cases of COVID-19 in France threatens epidemic control,Covid-19 vaccine in France: Side-effect monitoring increased,No vaccine if you have had Covid already: French health body
28-Dec,Third lockdown ‘not ruled out’ in France if Covid worsens,How to get a Covid-19 test in the UK and France,France begins Covid-19 vaccinations as 78-year-old woman receives first dose,France considers third national lockdown as Covid-19 cases rise,France reports 146 COVID-19 deaths in past 24 hours
01-Jan,Covid: France 'pandering to anti-vaxxers' with slow vaccine rollout,Covid-19 France: What is the situation in my department?,France to keep list of people who have Covid vaccination,France detects first case of South African strain of Covid-19,"Covid: France mobilises 100,000 police to stop New Year's Eve gatherings"
07-Jan,Covid-19 France: Minister refuses to rule out new lockdown,Covid-19 France: Could places refuse unvaccinated people?,"France's bars, restaurants and ski resorts fear extension of COVID-19 restrictions",Why are so many in France hesitant to take the COVID-19 vaccine?,French Government Is Criticized For Slow Rollout Of COVID-19 Vaccine
14-Jan,Covid-19: France PM Castex announces tighter curfew,"Covid-19: No need to close schools over UK variant, says French scientific adviser",UPDATE 1-No need to close schools in France despite COVID variant-adviser,Is France only European country with free Covid tests?,Covid France: Extended curfew expected but schools stay open
21-Jan,"Covid France: Five deaths after vaccine, no link proven",Covid France: Will I get proof of my vaccination?,"France to keep ski lifts shut due to Covid-19, in blow to winter sports tourism",Covid-19: France aims to vaccinate entire population by end of August,Coronavirus: French students highlight pandemic's mental health toll
28-Jan,Third lockdown in France may be imminent as Covid-19 cases surge,'Very tight' lockdown is one option under review in France,How to get Covid vaccine in France if no carte Vitale,COVID vaccine: France returns to 3 weeks between doses,"France's curfew not slowing COVID-19 infections enough, says govt spokesman"
01-Feb,"New Covid-19 restrictions ‘only delaying the inevitable,’ say French health experts",Covid-19: France closes borders to most non-EU travel,Covid France rules: Large non-food commercial centres close,Think tank criticises France over Covid-19 management,Think tank criticises France over Covid-19 management
