Date,Article 1,Article 2,Article 3,Article 4,Article 5
01-Dec,Italian kids battle school shutdown to curb coronavirus,Italy's Calabria has two pandemics: Covid and the mafia,The impact of COVID-19 on the Italian far right: The rise of Brothers of Italy,"Covid-Tested' Flights Between Italy, U.S. to Begin in Mid-December","The impact of COVID-19 on fertility plans in Italy, Germany, France, Spain, and the United Kingdom"
07-Dec,Bergamo’s Pandemic Survivors Carry Scars Unseen and Incalculable,Coronavirus Italy: Man walks 450km after lockdown row with wife,"Italy: New tax measures to mitigate the impact of the COVID-19 outbreak on tax collection, tax litigation activities, tax fulfillments and payments",EU Commission Approves €625 Million Italian Scheme for Operators & Agencies Affected by COVID-19,"Italy Obliges All Travellers From EU, Schengen & UK to Test for COVID-19 Upon Arrival"
14-Dec,Italy plans primrose-shaped gazebos for COVID-19 vaccine campaign,Why us again? Italy suffers disproportionate toll in second COVID wave,Italy Overtakes U.K. as European Country With Most Covid Deaths,Italy: Coronavirus pandemic inspires inventions,Coronavirus: Italy surpasses UK to record worst COVID-19 death toll in Europe
21-Dec,Covid: Nations impose UK travel bans over new variant,Why Are So Many Italians Dying of Covid-19? ,Italy worries about high death toll among coronavirus patients ,Italy has a patient with new strain of coronavirus,Italy has patient with new strain of virus found in Britain
28-Dec,COVID-19: Vaccine rollout begins in Italian city where coronavirus crisis shocked the world,"Nurse, 29, First to Receive COVID-19 Vaccine in Italy",Italy starts virus vaccine campaign with health workers,"Joy, hope as staff at Italy's Covid epicentre gets first jabs",Italy kicks off vaccinations against COVID-19 in Rome
01-Jan,Covid-19: Italian doctors are disciplined for anti-vaccination propaganda,Covid-19: Italian doctors are disciplined for anti-vaccinationpropaganda,Study suggests Italy's COVID-19 death toll is higher than reported,Italy records new rise in COVID-19 cases,Depressive symptoms in response to COVID-19 and lockdown: a cross-sectional study on the Italian population
07-Jan,Italy reports new rise in COVID-19 cases,"Mafia on the hunt for coronavirus vaccines, say Italian police ",Italy Once Again a COVID Hotspot,Italy Extends Strict COVID-19 Lockdown,Italy: COVID-19 -The Italian Budget Law has entered into force - new employment related provisions 
14-Jan,Italy to extend COVID state of emergency to end of April,Italy political crisis erupts over EU Covid spending,Fresh evidence emerges of COVID-19 in Italy earlier than first thought,Italy to extend covid-19 state of emergency until 30 April,"Italy: Covid-19 – New restrictive measures enacted – Decree of December 3, 2020"
21-Jan,Italian Tourism Federation Urges Government to Create ‘COVID-19 Vaccination Certificate’,"COVID-19 and Italian Healthcare Workers From the Initial Sacrifice to the mRNA Vaccine: Pandemic Chrono-History, Epidemiological Data, Ethical Dilemmas, and Future Challenges","Italy: New Decree dated January 14, 2021, with COVID-19 measures ","Italy Hits 1 Million COVID-19 Vaccinations, Most in the E.U.","COVID-19 Lockdown Took Heavy Toll on Patients, Italian Study Finds"
28-Jan,Democratic responsibility in Italy under COVID-19,Cognitive and mental health changes and their vulnerability factors related to COVID-19 lockdown in Italy,Italy Quarantine Waived For Arrivals on Certain “COVID-Free” Flights ,Patterns of Presentation of SARS-CoV-2 Infection in Children. Experience at the Italian Epicentre of the Pandemic,Pfizer to continue vaccine supply to Italy even if Rome files lawsuit: CEO to paper
