,tweet_id,date,time,lang,country_code
1,1356105152630054912,2021-02-01,05:00:38,en,ZA
2,1356105156736151555,2021-02-01,05:00:39,en,
3,1356105157856079873,2021-02-01,05:00:39,en,
4,1356105159814897665,2021-02-01,05:00:39,en,
5,1356105160079134723,2021-02-01,05:00:40,en,
6,1356105160167190531,2021-02-01,05:00:40,en,
7,1356105161496686597,2021-02-01,05:00:40,en,
9,1356105162461351939,2021-02-01,05:00:40,en,
11,1356105164202119168,2021-02-01,05:00:41,en,
13,1356105165221343238,2021-02-01,05:00:41,en,
14,1356105172825604097,2021-02-01,05:00:43,en,
17,1356105179653926912,2021-02-01,05:00:44,en,
18,1356105179905445889,2021-02-01,05:00:44,en,US
19,1356105180652183552,2021-02-01,05:00:44,en,
20,1356105181344256001,2021-02-01,05:00:45,en,
23,1356105183726596097,2021-02-01,05:00:45,en,
25,1356105186763186176,2021-02-01,05:00:46,en,
26,1356105190550757378,2021-02-01,05:00:47,en,
28,1356105192626786304,2021-02-01,05:00:47,en,
30,1356105193708896257,2021-02-01,05:00:48,en,
32,1356105197408329728,2021-02-01,05:00:48,en,
34,1356105198456905730,2021-02-01,05:00:49,en,
37,1356105201707483139,2021-02-01,05:00:49,en,
39,1356105203225821189,2021-02-01,05:00:50,en,
41,1356105205100605443,2021-02-01,05:00:50,en,
42,1356105205247598592,2021-02-01,05:00:50,en,
44,1356105207478800384,2021-02-01,05:00:51,en,
46,1356105209282494467,2021-02-01,05:00:51,en,
48,1356105212101062657,2021-02-01,05:00:52,en,
50,1356105213388709889,2021-02-01,05:00:52,en,
51,1356105213652979713,2021-02-01,05:00:52,en,
52,1356105214957219845,2021-02-01,05:00:53,en,
53,1356105216832102405,2021-02-01,05:00:53,en,
55,1356105218899980289,2021-02-01,05:00:54,en,
57,1356105220015575040,2021-02-01,05:00:54,en,
58,1356105220133011459,2021-02-01,05:00:54,en,
63,1356105233924026373,2021-02-01,05:00:57,en,
67,1356105241935142913,2021-02-01,05:00:59,en,
68,1356105244816642048,2021-02-01,05:01:00,en,
69,1356105244854247425,2021-02-01,05:01:00,en,
71,1356105244871184384,2021-02-01,05:01:00,en,
73,1356105244938100740,2021-02-01,05:01:00,en,
75,1356105252974419968,2021-02-01,05:01:02,en,
76,1356105253704376323,2021-02-01,05:01:02,en,
77,1356105254652305409,2021-02-01,05:01:02,en,
79,1356105255294029824,2021-02-01,05:01:02,en,
80,1356105255885434880,2021-02-01,05:01:02,en,
84,1356105262118162435,2021-02-01,05:01:04,en,
90,1356105266542985218,2021-02-01,05:01:05,en,
91,1356105266903863296,2021-02-01,05:01:05,en,
92,1356105268262801409,2021-02-01,05:01:05,en,
93,1356105268728393729,2021-02-01,05:01:05,en,
96,1356105270309621764,2021-02-01,05:01:06,en,
97,1356105272662618116,2021-02-01,05:01:06,en,
100,1356105275288088577,2021-02-01,05:01:07,en,
102,1356105279180480515,2021-02-01,05:01:08,en,
105,1356105286017294338,2021-02-01,05:01:10,en,
106,1356105287489433603,2021-02-01,05:01:10,en,
107,1356105289347575809,2021-02-01,05:01:10,en,
108,1356105290572328962,2021-02-01,05:01:11,en,
110,1356105290731581440,2021-02-01,05:01:11,en,
111,1356105291578830856,2021-02-01,05:01:11,en,US
112,1356105292644196353,2021-02-01,05:01:11,en,
113,1356105293546074114,2021-02-01,05:01:11,en,
115,1356105295324299268,2021-02-01,05:01:12,en,
116,1356105295634677762,2021-02-01,05:01:12,en,
120,1356105300395384839,2021-02-01,05:01:13,en,
122,1356105308339376128,2021-02-01,05:01:15,en,
123,1356105312680349697,2021-02-01,05:01:16,en,
124,1356105315650039810,2021-02-01,05:01:17,en,
130,1356105331345129478,2021-02-01,05:01:20,en,
131,1356105332578127877,2021-02-01,05:01:21,en,
132,1356105333056266240,2021-02-01,05:01:21,en,
133,1356105334314704897,2021-02-01,05:01:21,en,
135,1356105337451888641,2021-02-01,05:01:22,en,
141,1356105348827000833,2021-02-01,05:01:25,en,
142,1356105349036560389,2021-02-01,05:01:25,en,
